variable,unit,test,control,diff
TSA,K,281.814,280.981,0.833
PREC,mm d$^{-1}$,2.403,2.378,0.025
ELAI,m${-2}$ m${-2}$,1.029,1.017,0.012
FSDS,W m$^{-2}$,199.491,198.251,1.240
FLDS,W m$^{-2}$,302.8,298.032,4.768
ASA,% reflected,28.805,29.057,-0.252
RNET,W m$^{-2}$,73.644,72.084,1.560
FSH,W m$^{-2}$,34.364,33.098,1.266
ET,W m$^{-2}$,38.353,38.152,0.201
FCTR,W m$^{-2}$,18.222,17.843,0.379
FGEV,W m$^{-2}$,12.218,12.28,-0.062
FCEV,W m$^{-2}$,7.914,8.029,-0.115
QRUNOFF_TO_COUPLER,mm d$^{-1}$,1.016,1.002,0.014
SNOWDP,m,2.275,2.278,-0.003
GPP,PgC y$^{-1}$,86.352,85.158,1.194
NPP,PgC y$^{-1}$,34.813,34.363,0.45
NEE,PgC y$^{-1}$,3.602,1.969,1.633
NBP,PgC y$^{-1}$,-4.138,-2.492,-1.646
BTRANMN,unitless,0.573,0.574,-0.001
TOTVEGC,PgC,441.918,417.255,24.663
TOTECOSYSC,gC/m^2,19369.238,19087.331,281.907
TOTSOMC_1m,PgC,1581.003,1569.293,11.710
ALTMAX,m,32.363,32.239,0.124
FAREA_BURNED,s-1,2.79e-09,2.78e-09,1e-11
DSTFLXT,Pg y$^{-1}$,8.104,7.981,0.123
MEG_isoprene,Tg y$^{-1}$,471.177,421.513,49.664
