variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.814,38, 0.245, 0.006, 0.013, 281.903 + -0.005 t, 0.221
PREC,mm d$^{-1}$,2.403,38, 0.054, 0.001, 0.003, 2.398 +  0.000 t, 0.752
ELAI,m${-2}$ m${-2}$,1.029,38, 0.041, 0.001, 0.002, 1.052 + -0.001 t, 0.047
FSDS,W m$^{-2}$,199.491,38, 0.551, 0.014, 0.028, 199.069 +  0.022 t, 0.007
FLDS,W m$^{-2}$,302.800,38, 1.495, 0.039, 0.077, 303.400 + -0.031 t, 0.173
ASA,% reflected,28.805,38, 0.119, 0.003, 0.006, 28.754 +  0.003 t, 0.144
RNET,W m$^{-2}$,73.644,38, 0.384, 0.010, 0.020, 73.621 +  0.001 t, 0.843
FSH,W m$^{-2}$,34.364,38, 0.417, 0.011, 0.022, 34.197 +  0.009 t, 0.174
ET,W m$^{-2}$,38.353,38, 0.457, 0.012, 0.024, 38.351 +  0.000 t, 0.983
FCTR,W m$^{-2}$,18.222,38, 0.412, 0.011, 0.021, 18.366 + -0.007 t, 0.239
FGEV,W m$^{-2}$,12.218,38, 0.386, 0.010, 0.020, 11.905 +  0.016 t, 0.004
FCEV,W m$^{-2}$,7.914,38, 0.153, 0.004, 0.008, 8.080 + -0.009 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,1.016,38, 0.042, 0.001, 0.002, 1.006 +  0.001 t, 0.421
SNOWDP,m,2.275,38, 0.017, 0.000, 0.001, 2.301 + -0.001 t, 0.000
GPP,PgC y$^{-1}$,86.352,38, 2.067, 0.054, 0.107, 86.386 + -0.002 t, 0.957
NPP,PgC y$^{-1}$,34.813,38, 0.784, 0.021, 0.040, 34.377 +  0.022 t, 0.056
NEE,PgC y$^{-1}$,3.602,38, 1.580, 0.042, 0.082, 6.063 + -0.126 t, 0.000
NBP,PgC y$^{-1}$,-4.138,38, 1.586, 0.042, 0.082,-6.614 +  0.127 t, 0.000
BTRANMN,unitless,0.573,38, 0.00484, 0.000127, 0.00025, 0.567 +  0.000312 t, 7.11e-07
TOTVEGC,PgC,441.918,38, 26.996, 0.710, 1.392, 488.721 + -2.400 t, 0.000
TOTECOSYSC,gC/m^2,19369.238,38, 293.582, 7.726, 15.143, 19885.766 + -26.489 t, 0.000
TOTSOMC_1m,PgC,1581.003,38, 9.212, 0.242, 0.475, 1597.373 + -0.840 t, 0.000
ALTMAX,m,32.363,38, 0.320, 0.008, 0.017, 31.800 +  0.029 t, 0.000
FAREA_BURNED,s-1,2.79e-09,38, 2.45e-10, 6.44e-12, 1.26e-11, 2.96e-09 + -8.32e-12 t, 0.0211
DSTFLXT,Pg y$^{-1}$,8.104,38, 0.321, 0.008, 0.017, 8.240 + -0.007 t, 0.148
MEG_isoprene,Tg y$^{-1}$,471.177,38, 45.414, 1.195, 2.342, 502.947 + -1.629 t, 0.015
